Price,Close,High,Low,Open,Volume
Ticker,PSQ,PSQ,PSQ,PSQ,PSQ
Date,,,,,
2015-01-02,253.9622344970703,255.23992478566333,251.02356243011164,252.13088361568873,145080
2015-01-05,257.7527160644531,258.4341404606759,254.94178194201655,255.23991486336695,79980
2015-01-06,261.202392578125,262.30973939002433,256.9860316251242,257.4545075105687,159740
2015-01-07,257.9230041503906,260.05248742770453,257.2415798995177,259.5414322368843,89880
2015-01-08,252.8548126220703,255.87866803640617,252.38631077267658,255.62314047831148,71720
2015-01-09,254.51588439941406,255.9213644535723,252.00310920086397,252.08829374879392,71440
2015-01-12,257.1138000488281,257.79522425715606,253.96215459731005,253.96215459731005,84520
2015-01-13,257.32684326171875,259.3285633545553,252.04571271823644,254.8992263829458,104680
2015-01-14,258.64703369140625,260.8617014989845,257.4971075225994,259.9673289202841,84960
2015-01-15,262.05419921875,262.3097528013312,257.1138085581984,257.53970520116553,114680
2015-01-16,258.90264892578125,262.8208782936483,258.6470952748279,262.4801660870523,92460
2015-01-20,256.9008483886719,260.22283685167474,256.26200345368414,257.28413975286435,51600
2015-01-21,255.6231689453125,258.51926090311895,254.47324281649682,257.5822830946518,39440
2015-01-22,250.81056213378906,256.7305103154372,250.55500853216182,254.5158424080182,80680
2015-01-23,250.21426391601562,251.40676925149054,249.5328397227919,250.76792432234325,38660
2015-01-26,250.46981811523438,251.79011337262205,250.08652671380142,250.64018717898423,29820
2015-01-27,256.9008483886719,257.7952208997879,254.38804791318663,254.43065317231932,92060
2015-01-28,258.34893798828125,258.34893798828125,252.76970139660438,252.85488593889073,109740
2015-01-29,256.0065002441406,260.6913640223175,255.4102604509941,258.6044857542965,79260
2015-01-30,257.79522705078125,258.13593915863737,254.1751056661413,256.176825042464,61040
2015-02-02,255.5806884765625,261.20253207766916,255.4103453339112,257.1139327285083,81900
2015-02-03,253.1103973388672,256.0490948939135,252.94005425989135,254.77140482557527,44060
2015-02-04,253.3233184814453,254.60100841258375,251.66233716776628,254.13253250236693,62980
2015-02-05,251.15133666992188,252.85492379199064,250.9809675598444,252.64197540173205,34520
2015-02-06,252.68450927734375,253.5363026853204,250.17173432061568,250.81057937659818,40120
2015-02-09,253.4510955810547,253.8769922471258,252.25859011498946,253.62146464535095,30560
2015-02-10,249.44769287109375,252.30120585115043,249.1495599935349,251.8753091674008,64620
2015-02-11,248.6384735107422,249.6606359279717,248.08481303252208,249.23473925323776,25900
2015-02-12,245.65719604492188,247.275598205084,245.61461677544523,246.8923067957843,46360
2015-02-13,243.52772521972656,245.35907581092914,243.48514594805704,245.06096891989975,102040
2015-02-17,243.31478881835938,244.03881843498934,243.18702500240647,243.6981062608907,34560
2015-02-18,242.97406005859375,243.9110379694103,242.8036909858377,243.61290508942267,34220
2015-02-19,241.73892211914062,243.10179656411796,241.61115832625762,243.10179656411796,36800
