Price,Close,High,Low,Open,Volume
Ticker,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ
Date,,,,,
2015-01-02,3.8648948669433594,4.004055071267984,3.8053122122999343,3.952870208471823,61113600
2015-01-05,3.6909451484680176,3.822907489417853,3.658954548354174,3.808911701975247,63508800
2015-01-06,3.544586181640625,3.725734418044444,3.4938015221166467,3.704140555201862,84321600
2015-01-07,3.68094801902771,3.7045408225126506,3.587773972600005,3.612167404740276,68733600
2015-01-08,3.890887975692749,3.912881353553809,3.7629242163368004,3.7757210041419738,72468000
2015-01-09,3.812110185623169,3.931676383366709,3.7473285917218937,3.9272771585812998,90710400
2015-01-12,3.694943904876709,3.847700845558789,3.664552276379333,3.8377031688063483,82627200
2015-01-13,3.6917455196380615,3.9180804609420115,3.602970912844872,3.7993144236585636,99854400
2015-01-14,3.6349613666534424,3.684147295472014,3.5325904837278146,3.5745783043169896,108074400
2015-01-15,3.4906020164489746,3.6969429558441376,3.4754065459110985,3.676548775935234,98006400
2015-01-16,3.614967107772827,3.6237639559421666,3.456212199942907,3.473407755669942,70898400
2015-01-20,3.694943904876709,3.7217367083915396,3.5525850697186523,3.675749408914994,70946400
2015-01-21,3.751728057861328,3.802113665902999,3.624564467590992,3.6613535741842402,66765600
2015-01-22,3.96046781539917,3.9708643175366447,3.6981421641644747,3.7989133661705545,81328800
2015-01-23,3.986860752105713,4.022449943348258,3.9244785305720793,3.960468150555717,71179200
2015-01-26,3.978062629699707,3.9948577546304653,3.9116811569011722,3.9748637762047205,50402400
2015-01-27,3.670151710510254,3.791317119045042,3.624564836130893,3.7889177496523234,111993600
2015-01-28,3.606968641281128,3.8508990846010334,3.60456927217973,3.8385024967880983,94464000
2015-01-29,3.711338758468628,3.7293335683662483,3.502998660182678,3.5945728229118057,88279200
2015-01-30,3.6261632442474365,3.7849181485346026,3.609368117671278,3.698542917664652,109111200
2015-02-02,3.721336841583252,3.726934836311132,3.4782065376356712,3.645758306753564,99422400
2015-02-03,3.8229072093963623,3.8321051726832898,3.68614613971627,3.7525276197213433,91166400
2015-02-04,3.812910318374634,3.8900873508027543,3.7517277824710202,3.7749203859134255,62316000
2015-02-05,3.9140799045562744,3.9192786127014756,3.8165084815870705,3.840101280857994,50162400
2015-02-06,3.842902421951294,3.9568699512740055,3.80011397281358,3.930876401457994,61764000
2015-02-09,3.800513505935669,3.8572975038640176,3.7769204737376305,3.796914452473382,47896800
2015-02-10,3.9824609756469727,3.9968571894059353,3.849298972990004,3.8704937801625063,59628000
2015-02-11,4.027249813079834,4.051643023576194,3.9724656543094037,3.9968584071727884,60926400
2015-02-12,4.168008327484131,4.169607296483439,4.085631220255047,4.099627919408977,76550400
2015-02-13,4.2731781005859375,4.273977585135045,4.1788055165948865,4.201198863727955,60448800
2015-02-17,4.284775257110596,4.291973365093819,4.241587524477069,4.272379354577595,41364000
2015-02-18,4.3031697273254395,4.308368894118977,4.250784952773075,4.270378960820966,35239200
2015-02-19,4.367951393127441,4.374350015727182,4.290772984775385,4.292773297991196,37795200
2015-02-20,4.451927661895752,4.4607251962889105,4.316366278700553,4.3575550680015205,45386400
2015-02-23,4.469522476196289,4.4699224473474075,4.417538125006194,4.449128066185315,39487200
2015-02-24,4.478720664978027,4.491916967831111,4.409539838975684,4.449928689877397,52300800
2015-02-25,4.442729949951172,4.507910590625731,4.4135380108372955,4.455125849789351,56275200
2015-02-26,4.510310173034668,4.515909310691209,4.418736928788718,4.455526031870805,58168800
2015-02-27,4.450728416442871,4.513110651190036,4.4291345483522,4.505113515495456,44395200
2015-03-02,4.570693016052246,4.5742922982654886,4.472721606763296,4.474720546967675,44522400
2015-03-03,4.5051116943359375,4.543100247285073,4.420335225749516,4.530703433479203,64195200
2015-03-04,4.455126762390137,4.480719424720893,4.379948202385317,4.462324412650099,58320000
2015-03-05,4.474721908569336,4.516710191192914,4.42273663371775,4.489117668904263,46173600
2015-03-06,4.320765018463135,4.4863178462518505,4.2903745314599275,4.461925553941317,74863200
2015-03-09,4.3623528480529785,4.3931437572624406,4.296771318763692,4.35155591686711,56635200
2015-03-10,4.120821952819824,4.268780149867225,4.118823012462823,4.26638078075281,95983200
2015-03-11,4.048442363739014,4.151213893731954,4.0428445984126435,4.132019398057988,111576000
2015-03-12,4.126021862030029,4.140816677603882,4.02964893952399,4.03684704816209,61195200
2015-03-13,4.072835445404053,4.1640091724387505,3.9956570449542155,4.11522368439832,99057600
2015-03-16,4.228791236877441,4.230790177216516,4.104427218597885,4.118022575647614,57480000
2015-03-17,4.252384662628174,4.268780735185557,4.164809737292019,4.1924017994418,48681600
2015-03-18,4.374748229980469,4.4315322191582105,4.1488135592867454,4.215994507331439,83911200
2015-03-19,4.395944118499756,4.428733972082921,4.368751115055767,4.389945466690736,55692000
2015-03-20,4.487117290496826,4.543900371212788,4.47752027255925,4.500712646411638,52406400
2015-03-23,4.449527740478516,4.50871110472033,4.449127311762401,4.4731205427992,49617600
2015-03-24,4.404340744018555,4.5123095890969624,4.401941375332441,4.448727920629696,46490400
2015-03-25,4.097238063812256,4.434775529368108,4.097238063812256,4.427576703612781,87943200
2015-03-26,4.063643455505371,4.128431505565917,3.9596634819732817,4.000855002717423,98280000
2015-03-27,4.102835655212402,4.136030158433598,4.038848545318997,4.055645344737399,49272000
2015-03-30,4.250409126281738,4.258408432261143,4.182822359380687,4.185621521491343,75607200
2015-03-31,4.11883544921875,4.238813172187959,4.110837056401787,4.211618362003071,62253600
2015-04-01,4.049246311187744,4.113234797698237,3.9692615039869756,4.113234797698237,87938400
2015-04-02,4.056045055389404,4.095238356106163,4.01725313874141,4.057245088488947,55288800
2015-04-06,4.153626918792725,4.188821022559149,3.9660615727915496,3.9828583738140573,75472800
2015-04-07,4.1344313621521,4.239212300006528,4.134031351058867,4.148428546665081,57345600
2015-04-08,4.232812881469727,4.249209674257649,4.136031253698842,4.1376303826554945,84571200
2015-04-09,4.311598300933838,4.3147983896884625,4.182822646954657,4.228813396194639,55464000
2015-04-10,4.363187789916992,4.364787833943029,4.278804232361928,4.310797790026712,56692800
2015-04-13,4.330794334411621,4.439974011976321,4.3155975755891545,4.374786855034869,57600000
2015-04-14,4.293601036071777,4.3535898792537,4.220414574161263,4.321195849014035,84487200
2015-04-15,4.369586944580078,4.400781398098869,4.311198147929455,4.330394558680044,47678400
2015-04-16,4.354390621185303,4.377585771602544,4.31959743788086,4.3399934261048925,45444000
2015-04-17,4.150827407836914,4.266005867296161,4.096037797577016,4.230412666946138,93213600
2015-04-20,4.336394309997559,4.358789896288577,4.20801821245371,4.214816570182989,71097600
2015-04-21,4.391982555389404,4.43437502986064,4.377585361657241,4.413578574826919,63693600
2015-04-22,4.463169574737549,4.485165603736414,4.341991867415169,4.425976330946605,60957600
2015-04-23,4.516759395599365,4.574348627450753,4.416378594154249,4.420777342513719,65500800
2015-04-24,4.693526744842529,4.716322797109258,4.635937512978768,4.655933487993493,71208000
2015-04-27,4.663532257080078,4.776311568314793,4.632338261901906,4.751115907875608,80580000
2015-04-28,4.633138656616211,4.699126300391921,4.517160609390306,4.672731059810194,85876800
2015-04-29,4.544754505157471,4.636736902105364,4.47156804940582,4.5555525143286735,96976800
2015-04-30,4.3311944007873535,4.525158118244791,4.263606718948729,4.469168926557881,154084800
2015-05-01,4.506362438201904,4.510361633721789,4.379185915348052,4.380785959698878,95006400
2015-05-04,4.5223588943481445,4.608342498484037,4.5171596664660365,4.543554443859438,65985600
2015-05-05,4.307999610900879,4.496364582232752,4.297201598507647,4.4715693836816675,140347200
2015-05-06,4.216015815734863,4.363188303642159,4.1276325953868955,4.325995056192091,106699200
2015-05-07,4.2884016036987305,4.323994797726933,4.200817970436031,4.211615977697373,84309600
2015-05-08,4.445573806762695,4.477167358279205,4.401581285173265,4.42157817714573,89188800
2015-05-11,4.396781921386719,4.485565610711146,4.3879844242544666,4.457970797757507,69513600
2015-05-12,4.339993476867676,4.403581508755276,4.2196153131157,4.31799744407187,95167200
2015-05-13,4.3623881340026855,4.461569350645493,4.344391300515555,4.396382203664874,66249600
2015-05-14,4.5555524826049805,4.564750447628609,4.421577625289371,4.471568018266974,88416000
2015-05-15,4.555152416229248,4.607942890996083,4.520759246170091,4.591546099234079,73252800
2015-05-18,4.611141681671143,4.639536053791597,4.521557986845272,4.532756005908314,55293600
2015-05-19,4.597944259643555,4.648733751623401,4.576348244715816,4.629138249162265,49288800
2015-05-20,4.605542182922363,4.6883266017555485,4.533955782519132,4.608341801949462,55632000
2015-05-21,4.677929878234863,4.695526244344865,4.5623509482050295,4.583147402536248,46111200
2015-05-22,4.665132999420166,4.713923825801596,4.652734944020827,4.661932910699572,39909600
2015-05-26,4.503561496734619,4.651133979968899,4.447972781206721,4.631937570548468,70228800
2015-05-27,4.720322132110596,4.73431931503604,4.514760390648539,4.542755214177973,67144800
2015-05-28,4.685528755187988,4.72472114034445,4.644335857197469,4.69152754761901,45321600
2015-05-29,4.606343746185303,4.697926139246115,4.57194920320962,4.677529694699058,53030400
2015-06-01,4.646735191345215,4.6867280538810885,4.536755963567809,4.678728749088316,68580000
2015-06-02,4.604342937469482,4.673130645966366,4.529956905317876,4.597945049440593,65731200
2015-06-03,4.644737720489502,4.698327315106396,4.612742778215327,4.669932930871772,58533600
2015-06-04,4.543554782867432,4.6559336304601535,4.497563123569209,4.568750444442594,92851200
2015-06-05,4.509160995483398,4.555552201795562,4.425976100630683,4.5235581874977795,69295200
2015-06-08,4.371187210083008,4.511160873931251,4.343592396836599,4.500362863732347,72211200
2015-06-09,4.349591255187988,4.395182442869523,4.250009563701367,4.339192341628527,76500000
2015-06-10,4.521958351135254,4.563950811482998,4.378385520036226,4.3919822330095,77383200
2015-06-11,4.546753406524658,4.608342285512836,4.521958216672216,4.5703494787343555,58540800
2015-06-12,4.431175231933594,4.501161593196538,4.416378029247203,4.472367209793252,60448800
2015-06-15,4.369987964630127,4.388383897945684,4.258408670040558,4.33439384287354,100442400
2015-06-16,4.436775207519531,4.459570805325918,4.3471924029852795,4.350391118689274,50632800
2015-06-17,4.473967552185059,4.51795915219411,4.389183524901414,4.461169945890226,84194400
2015-06-18,4.663132667541504,4.691927056819637,4.508761806461131,4.5115614262470976,81314400
2015-06-19,4.591946125030518,4.688728204735228,4.591946125030518,4.676330150432013,42314400
2015-06-22,4.702723979949951,4.74431688302113,4.671529989164256,4.702723979949951,65858400
2015-06-23,4.714323043823242,4.727120650481182,4.654733758748603,4.719122260739598,57453600
2015-06-24,4.6419358253479,4.755914701856628,4.637537077442467,4.696326336333405,42451200
2015-06-25,4.611542224884033,4.70832476509967,4.589946204083259,4.693927570458675,42602400
2015-06-26,4.525957107543945,4.641135541501447,4.469567923363026,4.607541946016778,65952000
2015-06-29,4.206017017364502,4.447172402466825,4.197219520994274,4.366388025876846,136872000
2015-06-30,4.2540082931518555,4.32119549916173,4.20681751914319,4.293600688453601,88396800
2015-07-01,4.341192722320557,4.396781901350672,4.287203129823429,4.369187088522781,70812000
2015-07-02,4.357589244842529,4.394382021220908,4.309998459096131,4.380384838984561,52761600
2015-07-06,4.320796966552734,4.39318295224794,4.239212099184732,4.267606477958817,65904000
2015-07-07,4.34279203414917,4.363188479598698,4.095638283764967,4.333194056868298,125164800
2015-07-08,4.125232696533203,4.272805185112364,4.100037494071071,4.256407936817889,92440800
2015-07-09,4.113234519958496,4.295999714265976,4.113234519958496,4.291600966654372,62630400
2015-07-10,4.304399013519287,4.351190237617886,4.234412640575692,4.271205419100736,61629600
2015-07-13,4.524357795715332,4.5415550648506775,4.412378515747088,4.413178995420214,52430400
2015-07-14,4.615140914916992,4.6555342477638515,4.542754938396983,4.549953763785884,51100800
2015-07-15,4.637138366699219,4.687128770761125,4.594346331845062,4.641537115838059,59570400
2015-07-16,4.818304538726807,4.831101690508857,4.720722423330268,4.749117720024304,69840000
2015-07-17,5.038661956787109,5.0390624254882725,4.922683932537728,4.94507951534231,71664000
2015-07-20,5.095052242279053,5.1502418705973305,5.028665507689676,5.080655047430496,47944800
2015-07-21,5.0810546875,5.123447162163085,5.040662725730328,5.103051175756762,43704000
2015-07-22,4.914285182952881,4.985072025545897,4.851896740525268,4.852696304835292,54194400
2015-07-23,4.855497360229492,4.974275019462839,4.819103675274393,4.928683825857401,48391200
2015-07-24,4.717522144317627,4.942679832769196,4.694326082137061,4.93148272805258,53236800
2015-07-27,4.5963454246521,4.694727092895763,4.567150566886419,4.633538215281678,60312000
2015-07-28,4.717522144317627,4.743516910579211,4.548353640877209,4.661932054966107,77798400
2015-07-29,4.770313262939453,4.800307688645678,4.691927561922397,4.745118055189092,60868800
2015-07-30,4.836700916290283,4.859896066285338,4.651134681865559,4.736319190597398,68522400
2015-07-31,4.821902751922607,4.889090416894506,4.788709616984242,4.881092027012633,54518400
2015-08-03,4.777510643005371,4.861495101083852,4.679128993098099,4.824702328374554,73867200
2015-08-04,4.746717929840088,4.791909114659067,4.686329069478279,4.763914287822703,70675200
